Phylum,Class,Order,Family,Genus
,,,UBA6429,UMGS1994
,,,Thiohalomonadaceae,Scatovivens
,,,Sedimenticolaceae,UMGS1933
,,,Chromatiaceae,UMGS1781
,,,QNFN01,CAG-452
,,,Competibacteraceae,HGM13634
,,,REEB76,RGIG8482
,,,SLND01,Merdicola
,,,Steroidobacteraceae,CAG-269
,,,SZUA-146,UMGS1663
,,,PWYM01,CAG-273
,,,XN24,CAG-245
,,,GCA-2729495,UMGS1901
,,,UBA5335,CAG-492
,,,DSM-19610,RGIG6105
,,,UBA9214,HGM13618
,,,Thiohalobacteraceae,UBA1234
,,,JAHJQQ01,UMGS1649
,,,21-64-14,RGIG5622
,,,S144-34,CAG-465
,,,Acidiferrobacteraceae,RGIG9151
,,,UBA6901,Firm-13
,,,Sulfurifustaceae,DUPM01
,,,SPGG2,JAAYCT01
,,,Arenicellaceae,Firm-16
,,,UBA868,Saccharofermentans
,,,LS-SOB,UBA5734
,,,UBA5680,UBA8949
,,,HyVt-429,SLHU01
,,,BMS3Bbin11,JAAYBY01
,,,Immundisolibacteraceae,JAAYKS01
,,,SZUA-5,CAILLO01
,,,Xanthomonadaceae,DUPJ01
,,,Ahniellaceae,UBA1046
,,,Rhodanobacteraceae,DTU032
,,,UBA2363,UBA4923
,,,SZUA-36,UBA5436
,,,Wenzhouxiangellaceae,JAAZIX01
,,,Marinicellaceae,KA00274
,,,Nevskiaceae,DUPQ01
,,,OUC007,JAFGQE01
,,,Oceanococcaceae,RGIG7378
,,,Salinisphaeraceae,DUPL01
,,,Acidithiobacillaceae,SIG423
,,,J009,UBA1212
,,,Mariprofundaceae,RGIG9099
,,,Magnetococcaceae,UBA1255
,,,JADGCH01,SIG424
,,,DC0425bin3,Egerieisoma
,,,Magnetaquicoccaceae,DTU069
,,,UBA8363,Thermoclostridium
,,,UBA12223,JAAYJG01
,,,UBA2136,Thermoclostridium_A
,,,UBA6156,DTU059
,,,Holosporaceae,Acetivibrio
,,,CAG-239,Herbivorax
,,,CACZRW01,Hungateiclostridium
,,,CAG-977,Ch48
,,,UBA3637,DTU013
,,,Rs-D84,Ruminiclostridium
,,,NBLK01,HGM11808
,,,CACZYB01,Fimicola
,,,JAEUKQ01,Anaerotignum
,,,CAISOG01,Coprocola
,,,Elsteraceae,Metalachnospira
,,,GCA-2696645,CAG-274
,,,GCA-2717185,UBA3680
,,,UBA8366,Gallispira
,,,UBA7985,RGIG4310
,,,Kiloniellaceae,WRBK01
,,,DSM-21159,WRAX01
,,,Rhodovibrionaceae,WRBJ01
,,,Oceanibaculaceae,WRAA01
,,,Thalassobaculaceae,WRKG01
,,,Bin65,WQRX01
,,,CADEGL01,WRAN01
,,,UBA6615,WRAH01
,,,Tistrellaceae,WQVC01
,,,Micropepsaceae,JAAYNZ01
,,,SMXP01,Defluviitalea_A
,,,Parvularculaceae,JAAYML01
,,,Maricaulaceae,Niameybacter
,,,Hyphomonadaceae,Cellulosilyticum
,,,Caulobacteraceae,Epulopiscium_A
,,,TH1-2,Epulopiscium_C
,,,Rhodobacteraceae,Epulopiscium_B
,,,Hyphomicrobiaceae,RUG14319
,,,HXMU1428-3,Frisingicoccus
,,,Rhodomicrobiaceae,Scybalocola
,,,Methyloligellaceae,Catenibacillus
,,,Tepidamorphaceae,UBA2912
,,,Afifellaceae,Coprococcus_A
,,,Rhizobiaceae,Butyribacter
,,,Cohaesibacteraceae,Eubacterium_F
,,,MH13,V9D3004
,,,GCA-2746425,RGIG4057
,,,Rhodobiaceae,Lachnoclostridium
,,,Stappiaceae,SZUA-448
,,,Kaistiaceae,RUG11977
,,,Amorphaceae,UBA3775
,,,Pseudoxanthobacteraceae,ISDg
,,,Pleomorphomonadaceae,RGIG3528
,,,Ancalomicrobiaceae,SIG299
,,,Methylopilaceae,SIG307
,,,Xanthobacteraceae,Caccomorpha
,,,Labraceae,Catonella
,,,Phreatobacteraceae,RGIG1588
,,,Beijerinckiaceae,RUG11200
,,,Devosiaceae,Velocimicrobium
,,,Aestuariivirgaceae,Clostridium_AI
,,,Thermopetrobacteraceae,CAG-411
,,,Im1,KM106-2
,,,OSC116,Anaerosporobacter
,,,CGMCC-115125,Mobilitalea
,,,RS24,Anaerocolumna
,,,Parvibaculaceae,UBA3305
,,,UBA11222,UBA3774
,,,SMXS01,UBA6987
,,,Sphingomonadaceae,RUG11204
,,,J090,Paralachnospira_A
,,,Emcibacteraceae,RGIG7193
,,,Kordiimonadaceae,Paralachnospira
,,,Rhodothalassiaceae,RGIG423
,,,Zavarziniaceae,KLE1615
,,,Ferrovibrionaceae,UBA1201
,,,Sneathiellaceae,UBA4292
,,,Minwuiaceae,UBA1267
,,,GCA-2731375,Fimimorpha
,,,SHVV01,UBA2942
,,,SHVP01,Lachnoanaerobaculum
,,,CAIVPW01,Johnsonella
,,,UBA2966,Stomatobaculum
,,,UBA828,UBA1755
,,,SP197,UBA4285
,,,Geminicoccaceae,Oribacterium
,,,UBA7887,UBA3633
,,,UBA830,Avilachnospira
,,,UBA2964,Lachnoclostridium_A
,,,UBA11136,Enterocloster
,,,SMXQ01,UMGS1370
,,,Casp-alpha2,Caccovicinus
,,,2-02-FULL-58-16,Ventrimonas
,,,2-02-FULL-58-16_A,CHH4-2
,,,Magnetovibrionaceae,UBA3402
,,,UXAT02,Lacrimispora
,,,2-12-FULL-67-15,Hungatella
,,,JAHDSF01,Clostridium_Q
,,,UBA2165,Copromonas
,,,Terasakiellaceae,Clostridium_R
,,,Thalassospiraceae,RUG842
,,,WMHbin7,UBA1066
,,,Magnetospirillaceae,Alectryocaccobium
,,,Rhodospirillaceae,Bilifractor
,,,Acetobacteraceae,Porcincola
,,,Reyranellaceae,SIG280
,,,Bin95,RUG11237
,,,Stellaceae,GCA-900066755
,,,CACIAM-22H2,Lachnotalea
,,,SHVW01,Marvinbryantia
,,,SHVZ01,Choladousia
,,,Dongiaceae,Merdiplasma
,,,Azospirillaceae,Limivivens
,,,Inquilinaceae,CAG-56
,,,BOG-932,UMGS1375
,,,TMED2,Robinsoniella
,,,RGZA01,RGIG4284
,,,UBA9219,Merdisoma
,,,RFNS01,HGM12587
,,,UBA11073,Choladocola
,,,UBA2020,Lactonifactor
,,,Micavibrionaceae,Blautia
,,,GCA-2720935,Ruminococcus_G
,,,UBA1172,Pullilachnospira
,,,Puniceispirillaceae,Oliverpabstia
,,,GCA-002684695,UBA11957
,,,AAA536-G10,Fusicatenibacter
,,,UBA3830,Scatomonas
,,,VGCI01,Pelethocola
,,,Paracaedibacteraceae,Egerieimonas
,,,UBA11393,MGBC164599
,,,RUG11792,Blautia_A
,,,UBA6184,Bariatricus
,,,16-39-46,Suipraeoptans
,,,UBA7879,UBA7109
,,,UBA5542,MD308
,,,JAGOMX01,CAG-317
,,,Caedimonadaceae,Clostridium_AP
,,,UBA1908,Sporofaciens
,,,UBA9215,Dorea_A
,,,UBA9655,Merdimonas
,,,UBA3002,Massilistercora
,,,UBA998,Extibacter
,,,JABCZZ01,Lachnoclostridium_B
,,,SXRF01,Schaedlerella
,,,21-14-0-20-44-7,Ruminococcus_B
,,,Midichloriaceae,Muricomes
,,,JABIRX01,Mediterraneibacter
,,,UBA1997,Sellimonas
,,,Anaplasmataceae,UBA9414
,,,1604HC,An181
,,,Deianiraeaceae,Faecalimonas
,,,JABSSG01,RGIG3040
,,,Rickettsiaceae,RGIG7926
,,,Arcanobacteraceae,CAG-194
,,,33-17,UBA2882
,,,UBA6187,NK4A136
,,,GCA-2701885,UBA3766
,,,HIMB59,UBA1712
,,,GCA-002718135,G11
,,,TMED127,UBA1258
,,,GCA-002720895,AC2028
,,,AG-422-B15,CAG-791
,,,Pelagibacteraceae,Butyrivibrio
,,,TMED131,XBB2008
,,,TMED109,RGIG4034
,,,Rhizobiaceae_A,UBA7050
,,,MED-G09,1XD8-76
,,,TMED25,SIG336
,,,GM7ARS4,VSOB01
,,,JABAAW01,UBA3282
,,,UBA1177,UBA935
,,,OMII01,CAG-95
,,,CAIXSY01,Kineothrix
,,,JACQKK01,RGIG3002
,,,GCA-2753255,JAAYNV01
,,,NAC60-12,Eisenbergiella
,,,XYD2-FULL-50-16,RGIG8767
,,,JABDDW01,SFDP01
,,,UBA840,RGIG6307
,,,SG-bin7,CAG-510
,,,Bdellovibrionaceae,SIG332
,,,JACOND01,Acetatifactor
,,,UBA6776,COE1
,,,UBA1609,UBA2868
,,,Bacteriovoracaceae,NK4A144
,,,UBA923,UBA1753
,,,UBA1018,RUG14243
,,,CAIMNF01,Eubacterium_I
,,,Silvanigrellaceae,Eubacterium_C
,,,Bog-1112,W0P33-017
,,,Oligoflexaceae,Eubacterium_J
,,,RGVZ01,UBA11774
,,,UBA2466,14-2
,,,UBA2394,RUG115
,,,UBA2428,Lachnobacterium
,,,SZUA-336,Agathobacter
,,,UBA4427,Roseburia
,,,SMWR01,CAG-45
,,,UBA6930,1XD42-69
,,,PR03,RUG12461
,,,UBA9160,Pseudobutyrivibrio
,,,UBA9615,XBD2001
,,,GCA-2862545,UBA629
,,,CAJQPC01,RUG306
,,,UBA2385,RGIG4930
,,,UBA796,Weimeria
,,,SXON01,FD2005
,,,,AM51-8
,,,,RUG191
,,,,XBB1006
,,,,RGIG5612
,,,,RUG12871
,,,,SIG293
,,,,Eubacterium_G
,,,,CAG-603
,,,,UBA2821
,,,,CAG-303
,,,,Clostridium_N
,,,,Lachnospira
,,,,CAG-882
,,,,Butyrivibrio_A
,,,,SIG300
,,,,MGBC114844
,,,,RGIG8607
,,,,Scybalomonas
,,,,Anaerobutyricum
,,,,Fimousia
,,,,Anaerostipes
,,,,NC2004
,,,,CAG-632
,,,,Coprococcus
,,,,CAG-127
,,,,Eubacterium_Q
,,,,CAG-590
,,,,RGIG1668
,,,,Faecimorpha
,,,,RUG12817
,,,,RUG760
,,,,RUG159
,,,,Petrocella
,,,,W11650
,,,,UBA1351
,,,,HGW-1
,,,,Vallitalea
,,,,Natranaerovirga
,,,,UBA12420
,,,,Thermosediminibacter
,,,,Biomaibacter
,,,,Tepidanaerobacter
,,,,DTU063
,,,,Anaerobranca
,,,,UBA4975
,,,,SKNC01
,,,,DUNV01
,,,,UBA8154
,,,,DUQX01
,,,,JAAZMI01
,,,,UBA9862
,,,,SKMY01
,,,,JAAZIN01
,,,,JAAZPQ01
,,,,UBA993
,,,,SLQM01
,,,,SKPH01
,,,,T3SED10-7
,,,,B1SED10-74M
,,,,PWVN01
,,,,JAAZIQ01
,,,,DUUE01
,,,,JAAYSO01
,,,,UBA7523
,,,,HKB214
,,,,GPS1B09
,,,,JAAYTH01
,,,,DTU030
,,,,DUNI01
,,,,DYL19
,,,,Desulfotomaculum
,,,,Desulfohalotomaculum
,,,,MVQK01
,,,,Syntrophopropionicum
,,,,DTU098
,,,,VENG01
,,,,BRH-c8a
,,,,Sporotomaculum
,,,,Desulfotruncus
,,,,46-80
,,,,SCADC1-2-3
,,,,Desulfofundulus
,,,,Desulfocucumis
,,,,BRHc4a
,,,,Ammonifex
,,,,SURF-55
,,,,UBA12532
,,,,SURF-60
,,,,Desulforudis
,,,,Desulfopertinax
,,,,Carboxydothermus
,,,,Desulfitobacterium
,,,,Desulfosporosinus
,,,,WRJI01
,,,,JAAYMU01
,,,,Dichloromethanomonas
,,,,Dehalobacter
,,,,Heliorestis
,,,,Heliomicrobium
,,,,WRMS01
,,,,DUTS01
,,,,SM3-B62
,,,,BICA1-8
,,,,SKKY01
,,,,UMGS1590
,,,,UBA7185
,,,,UBA7702
,,,,UBA4068
,,,,WRKD01
,,,,HGM13862
,,,,Avidehalobacter
,,,,UBA5767
,,,,Syntrophomonas_B
,,,,PHAA01
,,,,Syntrophomonas_A
,,,,UBA4844
,,,,Syntrophomonas
,,,,DTU018
,,,,JAAYJK01
,,,,DTU019
,,,,UBA1368
,,,,Thermosyntropha
,,,,DTU052
,,,,JAAZDD01
,,,,41-269
,,,,Desulfitibacter
,,,,UBA12545
,,,,Moorella
,,,,DTU068
,,,,Syntrophaceticus
,,,,DULK01
,,,,Palsa-1188
,,,,Acidaminococcus
,,,,RZYP01
,,,,CAG-266
,,,,Phascolarctobacterium_A
,,,,Succiniclasticum
,,,,Phascolarctobacterium
,,,,Negativicoccus
,,,,Dialister
,,,,Allisonella
,,,,UBA1822
,,,,Veillonella_A
,,,,F0422
,,,,Veillonella
,,,,Caecibacter
,,,,Megasphaera
,,,,Anaeroglobus
,,,,Pelosinus
,,,,Propionispora
,,,,Dendrosporobacter
,,,,RGIG982
,,,,Propionispira
,,,,RGIG3544
,,,,CAJPQU01
,,,,RUG12372
,,,,RUG024
,,,,RGIG250
,,,,Anaerovibrio
,,,,RGIG9201
,,,,CAJORE01
,,,,Quinella
,,,,UBA3796
,,,,UBA9786
,,,,UBA2913
,,,,Mitsuokella
,,,,Selenomonas_A
,,,,UBA2897
,,,,Selenomonas_C
,,,,Selenomonas_B
,,,,Centipeda
,,,,Selenomonas
,,,,Megamonas
,,,,Pectinatus
,,,,Anaeromusa
,,,,CTSoil-072
,,,,CTSoil-081
,,,,Anaerospora
,,,,Sporomusa
,,,,Anaerosporomusa
,,,,UBA1444
,,,,Symbiobacterium
,,,,Sulfobacillus_B
,,,,Sulfobacillus
,,,,CSSED11-154
,,,,PWGR01
,,,,PWUC01
,,,,Thermaerobacter
,,,,DUSS01
,,,,UBA3951
,,,,UBA3907
,,,,DTU015
,,,,UBA995
,,,,UBA9673
,,,,CF-118
,,,,40CM-4-65-16
,,,,Palsa-870
,,,,Palsa-872
,,,,UBA10449
,,,,Dormibacter
,,,,CF-13
,,,,Bog-877
,,,,Palsa-875
,,,,Palsa-851
,,,,UBA8260
,,,,JACPOT01
,,,,3-1-20CM-2-70-9
,,,,CF-39
,,,,SHYN01
,,,,JACDBZ01
,,,,CF-167
,,,,CF-82
,,,,Limnocylindrus
,,,,Fen-1039
,,,,CTSoil-043
,,,,Palsa-1033
,,,,CF-16
,,,,C-114
,,,,SPCO01
,,,,CF-46
,,,,CAIXZV01
,,,,UBA5189
,,,,Palsa-1032
,,,,Kouleothrix
,,,,CAIQIY01
,,,,UBA965
,,,,Roseiflexus
,,,,Chloroflexus
,,,,Chloroploca
,,,,Viridilinea
,,,,Oscillochloris
,,,,Herpetosiphon
,,,,LB3-1
,,,,54-19
,,,,JACDAU01
,,,,JACCYX01
,,,,CADCWF01
,,,,JACCVE01
,,,,HRBIN26
,,,,Thermomicrobium
,,,,SLMJ01
,,,,CF-72
,,,,SZUA-161
,,,,BS503
,,,,JABMQN01
,,,,E44-bin89
,,,,RBG-13-51-18
,,,,W498
,,,,UBA5760
,,,,E44-bin88
,,,,Fen-1064
,,,,W589
,,,,DUES01
,,,,MGML01
,,,,JACPSA01
,,,,UBA3254
,,,,UBA5627
,,,,CSSed11-197
,,,,Dehalococcoides
,,,,Dehalogenimonas
,,,,UBA1222
,,,,WRNG01
,,,,SURF-27
,,,,RBG-13-53-26
,,,,VGOF01
,,,,SpSt-1004
,,,,9FT-COMBO-48-23
,,,,JACNFS01
,,,,UBA5629
,,,,UBA1162
,,,,CAIMUM01
,,,,UBA6808
,,,,20-14-all-45-10
,,,,E29-bin73
,,,,E29-bin54
,,,,RBG-13-51-36
,,,,SKVJ01
,,,,Bin90
,,,,VXRN01
,,,,UBA1123
,,,,GCA-2719675
,,,,GCA-002694895
,,,,UBA2962
,,,,GCA-002723415
,,,,GCA-002712965
,,,,UBA11996
,,,,Bin127
,,,,TMED-70
,,,,GCA-2721615
,,,,GCA-002700125
,,,,GCA-002708145
,,,,GCA-002725925
,,,,UBA1328
,,,,GCA-2730555
,,,,UBA1151
,,,,VGZT01
,,,,Bin16
,,,,UBA2963
,,,,UBA2588
,,,,SHYG01
,,,,Bin87
,,,,Bin22
,,,,UBA3495
,,,,UBA1141
,,,,UBA11650
,,,,UBA9611
,,,,UBA6952
,,,,JACPCL1
,,,,VXMO01
,,,,WHTK01
,,,,HRBIN29
,,,,UBA2991
,,,,SLAK01
,,,,Tepidiforma
,,,,FeB-14
,,,,PNKC01
,,,,JACPOQ01
,,,,UCB2
,,,,Bin125
,,,,GCA-002718395
,,,,UBA2979
,,,,SHYP01
,,,,RH-chloro-G1
,,,,VXMT01
,,,,RBC038
,,,,SHYQ01
,,,,SURF-43
,,,,UBA6627
,,,,UBA6955
,,,,HRBIN24
,,,,CF-163
,,,,UBA1429
,,,,JAAYED01
,,,,JACIWX01
,,,,UBA2200
,,,,DRWE01
,,,,DTLA01
,,,,SpSt-600
,,,,UBA7937
,,,,DSLN01
,,,,JAFGMS01
,,,,CFX10
,,,,J027
,,,,UBA2029
,,,,CP2-2F
,,,,UBA2796
,,,,CFX2
,,,,OLB15
,,,,OLB13
,,,,J038
,,,,GCA-2699585
,,,,UBA6055
,,,,BD1
,,,,UBA11657
,,,,UBA6663
,,,,DSNW01
,,,,SpSt-583
,,,,JAFGKK01
,,,,E44-bin32
,,,,DUEZ01
,,,,UBA5195
,,,,UBA8950
,,,,JAABUE01
,,,,Fen-1038
,,,,OLB14
,,,,JACPVF01
,,,,UBA12294
,,,,UBA7227
,,,,Desulfolinea
,,,,UBA877
,,,,JAGOFZ01
,,,,UBA6107
,,,,Bellilinea
,,,,Anaerolinea
,,,,PNON01
,,,,Leptolinea
,,,,UBA6170
,,,,UBA5203
,,,,Pelolinea
,,,,UBA4781
,,,,Brevefilum
,,,,49-20
,,,,T78
,,,,SpSt-1165
,,,,Flexilinea
,,,,UBA6092
,,,,NAK19
,,,,JAAZNS01
,,,,J130
,,,,NIOZ-UU35
,,,,B10-G9
,,,,SCUK01
,,,,UBA11579
,,,,DRMV01
,,,,S139-71
,,,,JAADEN01
,,,,Promineofilum
,,,,JADJXA01
,,,,GCA-2699125
,,,,CAADGU01
,,,,JADJUV01
,,,,JAGOBP01
,,,,Thermoflexus
,,,,CAIXPS01
,,,,JADKDT01
,,,,AQU-03
,,,,DSWT01
,,,,PWVB01
,,,,JAAZNO01
,,,,SpSt-77
,,,,DUEL01
,,,,SKLM01
,,,,B4-G1
,,,,NAK82
,,,,DSQQ01
,,,,JAFGNV01
,,,,DUEN01
,,,,JAAEKA01
,,,,CG2-30-64-16
,,,,Bin34
,,,,Caldilinea
,,,,Bin5
,,,,JAADGC01
,,,,M2005
,,,,JAADDB01
,,,,Ardenticatena
,,,,SHND01
,,,,VXOZ01
,,,,UBA11872
,,,,UBA12225
,,,,Thermogemmatispora
,,,,Dictyobacter
,,,,Ktedonobacter
,,,,JAFATZ01
,,,,UBA11361
,,,,DUUU01
,,,,HRBIN16
,,,,HRBIN15
,,,,GBS-DC
,,,,J051
,,,,UphvI-Ar2
,,,,H1-ARM1
,,,,Fimbriimonas
,,,,55-13
,,,,UBA6659
,,,,UBA2391
,,,,JAFLBD01
,,,,JACMIU01
,,,,CAIRTT01
,,,,CAIXIX01
,,,,CAIJLM01
,,,,CAJBBX01
,,,,DTLH01
,,,,DTKD01
,,,,RGIG7931
,,,,UBA1398
,,,,UBA5352
,,,,JABUFB01
,,,,UBA10988
,,,,HRBIN17
,,,,Abditibacterium
,,,,HRBIN32
,,,,NP-7
,,,,NP-4
,,,,CSP1-3
,,,,JAFAHD01
,,,,SCRA01
,,,,Rubrimentiphilum
,,,,JABEUX01
,,,,Cybelea
,,,,Aquilonibacter
,,,,Zemynaea
,,,,Elarobacter
,,,,Lustribacter
,,,,CADAWZ01
,,,,JADMJV01
,,,,Xenobium
,,,,Bruticola
,,,,RGIG3641
,,,,WFXV01
,,,,Oceanithermus
,,,,Thermus
,,,,Meiothermus_B
,,,,Calidithermus
,,,,Meiothermus
,,,,JAGXSJ01
,,,,Truepera
,,,,JAABTL01
,,,,SKWV01
,,,,CSSed10-48
,,,,JAAFIG01
,,,,Deinococcus
,,,,Deinococcus_A
,,,,Deinococcus_C
,,,,Actinomarina
,,,,SZUA-442
,,,,UBA5794
,,,,B3-G11
,,,,BMS3BBIN02
,,,,JABDIW01
,,,,VGBK01
,,,,UBA11373
,,,,SHLN01
,,,,Bin76
,,,,SZUA-217
,,,,WHTL01
,,,,JAENVV01
,,,,VXMP01
,,,,BMS3Bbin01
,,,,Fen-671
,,,,Palsa-661
,,,,Bog-756
,,,,Bog-473
,,,,Palsa-461
,,,,Palsa-459
,,,,RAAP-2
,,,,CAIQWC01
,,,,CAIUMH01
,,,,CAIQEU01
,,,,Acidimicrobium
,,,,JABEUN01
,,,,SCQM01
,,,,Fen-455
,,,,CAIVND01
,,,,CADDZP01
,,,,WTFX01
,,,,UBA9040
,,,,UBA2110
,,,,MedAcidi-G3
,,,,UBA6944
,,,,VFJN01
,,,,ZC4RG19
,,,,JAAZBK01
,,,,Actinomarinicola
,,,,F1-20-MAGs160
,,,,JABDIY01
,,,,SHLQ01
,,,,VYCW01
,,,,UBA11606
,,,,MedAcidi-G1
,,,,UBA3125
,,,,UBA9410
,,,,S20-B6
,,,,MedAcidi-G2B
,,,,VXNF01
,,,,Bin134
,,,,UBA10347
,,,,UBA8592
,,,,Microthrix
,,,,AWTP1-35
,,,,SXMI01
,,,,CAJANQ01
,,,,IMCC26207
,,,,JACDHN01
,,,,Ilumatobacter_A
,,,,Sva-07
,,,,SKSP01
,,,,Ilumatobacter
,,,,Casp-actino5
,,,,VFMC01
,,,,UBA668
,,,,Casp-actino8
,,,,CAIYHK01
,,,,F1-20-MAGs119
,,,,UBA2093
,,,,UBA3006
,,,,BACL27
,,,,F1-60-MAGs027
,,,,WLJO01
,,,,F1-120-MAGs055
,,,,SHVJ01
,,,,CAIUKV01
,,,,IMCC26256
,,,,SHUZ01
,,,,CSBr16-57R1
,,,,SKLC01
,,,,Egicoccus
,,,,T1Sed10-7
,,,,SKTG01
,,,,CSSed11-175R1
,,,,SKJO01
,,,,Euzebya
,,,,JACCTL01
,,,,T1Sed10-49
,,,,PUKE01
,,,,RFTO01
,,,,UBA5976
,,,,AcAMD-5
,,,,ATZT02
,,,,WLRQ01
,,,,CAIYMF01
,,,,CAINMH01
,,,,Mxb001
,,,,M55B157
,,,,GCA-2737125
,,,,UBA11398
,,,,WLND01
,,,,UBA10649
,,,,UBA4592
,,,,UBA6154
,,,,S36-B12
,,,,JADKAV01
,,,,UBA10799
,,,,GCA-2737595
,,,,CAIMZW01
,,,,AAA044-D11
,,,,PALSA-747
,,,,Nanopelagicus
,,,,UBA7398
,,,,SYAN01
,,,,MAG-120802
,,,,Planktophila
,,,,QYPT01
,,,,UBA3012
,,,,IMCC26077
,,,,AcAMD-2
,,,,WHST01
,,,,Bog-532
,,,,Palsa-504
,,,,Trebonia
,,,,Actinocorallia
,,,,Actinomadura_C
,,,,Spirillospora
,,,,Thermomonospora
,,,,Thermopolyspora
,,,,Sphaerisporangium
,,,,Planomonospora
,,,,Planomonospora_A
,,,,Planobispora
,,,,Streptosporangium
,,,,Nonomuraea
,,,,Desertactinospora
,,,,Sinosporangium
,,,,Microtetraspora
,,,,Microbispora
,,,,Sphaerimonospora
,,,,Planotetraspora
,,,,Herbidospora
,,,,Acrocarpospora
,,,,Nocardiopsis
,,,,Thermobifida
,,,,Nocardiopsis_A
,,,,Nocardiopsis_C
,,,,Streptomonospora
,,,,Lipingzhangella
,,,,Frankia
,,,,SCTD01
,,,,JAFAQI01
,,,,MT45
,,,,Cumulibacter
,,,,WHSY01
,,,,GCA-003244245
,,,,Actinopolyspora
,,,,Saccharopolyspora
,,,,Saccharopolyspora_C
,,,,Saccharopolyspora_D
,,,,Actinoalloteichus
,,,,Tamaricihabitans
,,,,Saccharomonospora
,,,,Amycolatopsis_D
,,,,Amycolatopsis
,,,,Haloechinothrix
,,,,Thermocrispum
,,,,Amycolatopsis_C
,,,,Actinokineospora
,,,,Actinophytocola
,,,,Kibdelosporangium
,,,,Sciscionella
,,,,Actinosynnema
,,,,Lentzea
,,,,Allokutzneria
,,,,Crossiella
,,,,Kutzneria
,,,,Actinomycetospora
,,,,Pseudonocardia
,,,,Segniliparus
,,,,Tsukamurella
,,,,Gordonia
,,,,Williamsia
,,,,Williamsia_A
,,,,Mycobacterium
,,,,Rhodococcus_B
,,,,Rhodococcus_C
,,,,Rhodococcus
,,,,Nocardia
,,,,Antrihabitans
,,,,Hoyosella
,,,,Tomitella
,,,,Lawsonella
,,,,Corynebacterium
,,,,Dietzia
,,,,X156
,,,,Nakamurella
,,,,Geodermatophilus
,,,,Blastococcus
,,,,Modestobacter
,,,,Klenkia
,,,,JACCQS01
,,,,JACCTY01
,,,,Actinocatenispora
,,,,Longispora
,,,,SLSW01
,,,,Rugosimonospora
,,,,Planosporangium
,,,,Virgisporangium
,,,,Dactylosporangium
,,,,JABDRL01
,,,,Phytohabitans
,,,,Asanoa
,,,,Micromonospora
,,,,Plantactinospora
,,,,Micromonospora_E
,,,,Actinoplanes
,,,,Pilimelia
,,,,Catellatospora
,,,,Hamadaea
,,,,Glycomyces
,,,,Stackebrandtia
,,,,Cryptosporangium
,,,,Fodinicola
,,,,Sporichthya
,,,,Motilibacter_A
,,,,Motilibacter
,,,,Catenulispora
,,,,Actinospica
,,,,Embleya
,,,,Streptomyces
,,,,Streptomyces_A
,,,,Streptacidiphilus
,,,,Streptomyces_D
,,,,Kitasatospora
,,,,Jiangella
,,,,Phytoactinopolyspora
,,,,Kribbella
,,,,Auraticoccus
,,,,Naumannella
,,,,Enemella
,,,,Luteococcus
,,,,Aestuariimicrobium
,,,,Acidipropionibacterium
,,,,Cutibacterium
,,,,Brooklawnia
,,,,Propionimicrobium
,,,,Propionibacterium
,,,,WRGV01
,,,,Arachnia
,,,,WQYJ01
,,,,Fen-668
,,,,Micropruina
,,,,Propionicimonas
,,,,Brevilactibacter
,,,,Propioniciclava
,,,,Raineyella
,,,,Microlunatus_B
,,,,Friedmanniella
,,,,Microlunatus_A
,,,,JACCZJ01
,,,,JACDHG01
,,,,Aeromicrobium
,,,,Mumia
,,,,JACCVL01
,,,,JACCYJ01
,,,,Marmoricola
,,,,Nocardioides
,,,,Nocardioides_A
,,,,Marmoricola_A
,,,,Nocardioides_B
,,,,JABFXA01
,,,,UBA4001
,,,,Actinopolymorpha
,,,,Mobilicoccus
,,,,Dermatophilus
,,,,Austwickia
,,,,GCA-2748155
,,,,Terracoccus
,,,,Humibacillus
,,,,Terrabacter
,,,,Pedococcus
,,,,Tetrasphaera_A
,,,,Marihabitans
,,,,Janibacter
,,,,F2B08
,,,,Ornithinibacter
,,,,Phycicoccus
,,,,Knoellia
,,,,UBA4719
,,,,Arsenicicoccus
,,,,Dermacoccus
,,,,Flexivirga
,,,,Allobranchiibius
,,,,Branchiibius
,,,,Yimella
,,,,Luteipulveratus
,,,,Ornithinimicrobium
,,,,Serinicoccus
,,,,Ornithinicoccus
,,,,Kytococcus
,,,,Brevibacterium
,,,,Aquiluna
,,,,Rhodoluna
,,,,Pseudoclavibacter_A
,,,,UBA3913
,,,,Agrococcus
,,,,Gulosibacter
,,,,Pseudoclavibacter
,,,,RFQD01
,,,,UBA963
,,,,Aurantimicrobium
,,,,Canibacter
,,,,Leucobacter
,,,,Microbacterium
,,,,Okibacterium
,,,,Mycetocola_A
,,,,Plantibacter
,,,,Mycetocola
,,,,Labedella
,,,,Microbacterium_A
,,,,Herbiconiux
,,,,Agreia
,,,,Subtercola
,,,,Clavibacter
,,,,Planctomonas
,,,,Amnibacterium
,,,,Naasia
,,,,Curtobacterium
,,,,Frigoribacterium
,,,,Frondihabitans
,,,,Diaminobutyricimonas
,,,,Microcella
,,,,Yonghaparkia
,,,,Marinisubtilis
,,,,Chryseoglobus
,,,,Schumannella
,,,,Protaetiibacter
,,,,Pseudolysinimonas
,,,,73-13
,,,,ZJ450
,,,,Lacisediminihabitans
,,,,Marisediminicola
,,,,Homoserinimonas
,,,,Terrimesophilobacter
,,,,Conyzicola
